voterID,voteTime,pollID,"Loren Culp","Tim Eyman","Phil Fortunato","Joshua Freed","Raul Garcia","Anton Sakharov"
nte9tkwpxc,"2020-07-17 10:21:08",swzw2ts6,5,0,0,1,0,0
wcyk5dsscm,"2020-07-17 10:23:39",swzw2ts6,5,0,0,0,0,0
72cp5dmecw,"2020-07-17 10:28:08",swzw2ts6,5,0,0,0,0,0
3cnep79pmc,"2020-07-17 10:45:58",swzw2ts6,5,0,0,0,0,0
kswa1k9a79,"2020-07-17 10:52:52",swzw2ts6,0,0,0,5,0,0
1fhwy4dznd,"2020-07-17 10:55:55",swzw2ts6,5,3,3,0,0,0
a2k2a9yr4a,"2020-07-17 11:02:55",swzw2ts6,5,0,0,4,0,0
r47294tnmz,"2020-07-17 11:22:18",swzw2ts6,5,0,0,0,0,0
ry34yhf4yx,"2020-07-17 11:25:32",swzw2ts6,5,1,0,0,1,0
m4fmk1sf5a,"2020-07-17 11:39:46",swzw2ts6,5,0,0,0,0,0
47t1ahsefm,"2020-07-17 11:48:29",swzw2ts6,1,0,0,0,0,0
c96ca6z1ay,"2020-07-17 11:49:45",swzw2ts6,5,0,0,0,0,0
tnykdn1ynh,"2020-07-17 11:49:57",swzw2ts6,5,0,0,0,0,0
dm2esstmwy,"2020-07-17 11:56:59",swzw2ts6,5,0,0,0,0,0
1ma6t3dphk,"2020-07-17 12:02:51",swzw2ts6,4,3,3,2,2,1
7twh19pn71,"2020-07-17 12:07:28",swzw2ts6,5,0,0,0,0,0
5edn7dm9s7,"2020-07-17 12:11:31",swzw2ts6,5,0,0,0,0,0
c1y19txcz5,"2020-07-17 12:11:36",swzw2ts6,5,0,0,0,0,0
55schaehp1,"2020-07-17 12:14:24",swzw2ts6,5,0,0,0,0,0
mp7ea1mkk5,"2020-07-17 12:15:16",swzw2ts6,5,3,0,0,0,0
ez5k53w7fz,"2020-07-17 12:24:41",swzw2ts6,0,0,0,0,0,0
7a5nta2p56,"2020-07-17 12:24:45",swzw2ts6,5,0,0,0,0,0
ked56sxxwk,"2020-07-17 12:25:40",swzw2ts6,5,0,0,0,0,0
k19df54124,"2020-07-17 12:29:19",swzw2ts6,5,0,0,0,0,0
xsp32m1wpr,"2020-07-17 12:30:49",swzw2ts6,5,0,0,0,0,0
mt3tt1f6cx,"2020-07-17 12:34:23",swzw2ts6,5,0,0,0,0,0
p11m2th24s,"2020-07-17 12:37:11",swzw2ts6,5,0,0,0,0,0
6w969emssh,"2020-07-17 12:42:33",swzw2ts6,5,0,0,0,0,0
nky766t6hk,"2020-07-17 12:47:41",swzw2ts6,5,0,0,0,0,0
kx4fznfh34,"2020-07-17 12:49:17",swzw2ts6,5,0,4,0,0,0
4e4922ekpy,"2020-07-17 12:50:59",swzw2ts6,5,0,0,0,0,0
ekw2zc12yx,"2020-07-17 12:52:49",swzw2ts6,5,0,0,0,0,0
4akfh4w3d5,"2020-07-17 12:57:41",swzw2ts6,5,0,0,0,0,0
67h9465rpe,"2020-07-17 13:11:23",swzw2ts6,5,2,0,1,0,0
7x2rk74ysz,"2020-07-17 13:14:25",swzw2ts6,5,0,0,0,0,0
4txy7ahadx,"2020-07-17 13:15:30",swzw2ts6,5,0,0,0,0,0
ka75zxps6p,"2020-07-17 13:28:38",swzw2ts6,5,0,0,0,0,0
ddmyk2kwks,"2020-07-17 13:30:43",swzw2ts6,0,0,3,5,0,0
mccmc42kmr,"2020-07-17 13:34:18",swzw2ts6,5,1,1,1,5,1
w9473c35xa,"2020-07-17 13:34:30",swzw2ts6,5,0,0,0,0,0
